Theft Year,State,Rank,Make/Model,Model Year,Thefts,
2015,Alabama,1,Chevrolet Pickup (Full Size),2005,499,
2015,Alabama,2,Ford Pickup (Full Size),2006,357,
2015,Alabama,3,Toyota Camry,2014,205,
2015,Alabama,4,Nissan Altima,2014,191,
2015,Alabama,4,Chevrolet Impala,2004,191,
2015,Alabama,5,Honda Accord,1998,180,
2015,Alabama,6,GMC Pickup (Full Size),1999,152,
2015,Alabama,7,Dodge Pickup (Full Size),1998,138,
2015,Alabama,8,Ford Mustang,2002,122,
2015,Alabama,9,Ford Explorer,2002,119,
2015,Alaska,1,Chevrolet Pickup (Full Size),2003,147,
2015,Alaska,2,Ford Pickup (Full Size),2004,95,
2015,Alaska,3,GMC Pickup (Full Size),1997,58,
2015,Alaska,4,Honda Civic,2000,56,
2015,Alaska,5,Honda Accord,1993,46,
2015,Alaska,6,Dodge Pickup (Full Size),1998,44,
2015,Alaska,7,Ford Explorer,1994,31,
2015,Alaska,8,Jeep Cherokee/Grand Cherokee,1999,28,
2015,Alaska,9,Ford Pickup (Small Size),2000,22,
2015,Alaska,10,Chevrolet Pickup (Small Size),1998,20,
2015,Arizona,1,Honda Accord,1997,"1,072",
2015,Arizona,2,Honda Civic,1998,"1,016",
2015,Arizona,3,Chevrolet Pickup (Full Size),2004,850,
2015,Arizona,4,Ford Pickup (Full Size),2006,772,
2015,Arizona,5,Dodge Pickup (Full Size),2001,428,
2015,Arizona,6,Nissan Altima,2015,269,
2015,Arizona,7,GMC Pickup (Full Size),2015,246,
2015,Arizona,8,Toyota Camry,1999,210,
2015,Arizona,9,Jeep Cherokee/Grand Cherokee,1994,207,
2015,Arizona,10,Nissan Sentra,2014,200,
2015,Arkansas,1,Chevrolet Pickup (Full Size),2004,402,
2015,Arkansas,2,Ford Pickup (Full Size),2008,252,
2015,Arkansas,3,GMC Pickup (Full Size),1997,174,
2015,Arkansas,4,Dodge Pickup (Full Size),1999,127,
2015,Arkansas,5,Honda Accord,1997,122,
2015,Arkansas,6,Nissan Altima,2015,89,
2015,Arkansas,7,Toyota Camry,2013,82,
2015,Arkansas,8,Chevrolet Impala,2012,76,
2015,Arkansas,9,Chevrolet Malibu,2006,72,
2015,Arkansas,10,Chevrolet Tahoe,2003,68,
2015,California,1,Honda Accord,1996,"28,345",
2015,California,2,Honda Civic,1998,"28,045",
2015,California,3,Chevrolet Pickup (Full Size),2006,"6,048",
2015,California,4,Toyota Camry,1991,"5,345",
2015,California,5,Ford Pickup (Full Size),2006,"4,504",
2015,California,6,Acura Integra,1994,"4,273",
2015,California,7,Toyota Corolla,2014,"3,339",
2015,California,8,Nissan Sentra,1997,"2,555",
2015,California,9,Nissan Altima,1997,"2,281",
2015,California,10,Honda CR-V,1999,"2,033",
2015,Colorado,1,Honda Civic,1997,"1,380",
2015,Colorado,2,Honda Accord,1997,"1,167",
2015,Colorado,3,Ford Pickup (Full Size),2005,595,
2015,Colorado,4,Jeep Cherokee/Grand Cherokee,1999,594,
2015,Colorado,5,Chevrolet Pickup (Full Size),2000,450,
2015,Colorado,6,Dodge Pickup (Full Size),2001,308,
2015,Colorado,7,Subaru Legacy,1996,215,
2015,Colorado,8,Acura Integra,1994,208,
2015,Colorado,9,Toyota Camry,1989,203,
2015,Colorado,10,Toyota Corolla,2014,170,
2015,Connecticut,1,Honda Accord,1997,534,
2015,Connecticut,2,Honda Civic,1998,532,
2015,Connecticut,3,Nissan Maxima,1998,184,
2015,Connecticut,4,Nissan Altima,1997,143,
2015,Connecticut,5,Toyota Camry,2014,131,
2015,Connecticut,6,Jeep Cherokee/Grand Cherokee,2000,110,
2015,Connecticut,7,Toyota Corolla,1999,99,
2015,Connecticut,8,Honda CR-V,1998,92,
2015,Connecticut,9,Dodge Caravan,2000,79,
2015,Connecticut,10,Acura TL,2003,76,
2015,Delaware,1,Honda Civic,2000,53,
2015,Delaware,2,Honda Accord,2004,43,
2015,Delaware,3,Chevrolet Pickup (Full Size),2005,36,
2015,Delaware,4,Ford Pickup (Full Size),1999,31,
2015,Delaware,5,Chevrolet Impala,2007,28,
2015,Delaware,6,Nissan Altima,2006,23,
2015,Delaware,6,Honda CR-V,2001,23,
2015,Delaware,7,Ford Taurus,2002,22,
2015,Delaware,8,Toyota Corolla,2010,21,
2015,Delaware,9,Toyota Camry,2012,20,
